output_idx,MAE,RMSE,R2
50,4.714841145876998,6.7746303786655195,0.31557012502089915
51,4.343224161373754,6.237072933348149,0.31567556491657284
52,4.028088075094405,5.802606595482277,0.31418255013759927
53,3.7754316111103954,5.475993370239517,0.30991089043340253
54,3.5731832919438316,5.232077141891285,0.3018651904513941
55,3.428468642930559,5.087363842771054,0.293643265498625
56,3.3459143672986156,5.0378302285786125,0.2961800304518239
57,3.328125834019179,5.058418980533716,0.3119006027311895
58,3.4342665256427645,5.230701481788667,0.3619972578980018
59,4.192228797955354,6.1944856792931375,0.5295730452226177
60,5.279530194122154e-06,1.1551156076756076e-05,-inf
61,7.408945370796878e-06,1.7043691081088998e-05,-inf
62,1.2909720512958278e-05,2.850661393499806e-05,-inf
63,2.9700269279887722e-05,6.457286129571043e-05,-inf
64,3.136042402504798e-05,6.87657745927098e-05,-inf
65,6.380608110817777e-05,0.0001340640382105002,-inf
66,0.00013383221937769368,0.00028589100995002673,-inf
67,0.00024844582308241133,0.0005147484812513104,-inf
68,0.00025240381491227373,0.0005099395920732915,-inf
69,0.0004554879366548414,0.0009223669862667116,-inf
70,0.0003387998650477971,0.0007241232398098192,-inf
71,0.0007113471542852494,0.0014815962161797665,-inf
72,0.0006108503562115596,0.0014097229860426169,-84938.78024490726
73,0.0005130074243027226,0.001112013410589273,-6704.092589762094
74,0.0015254266230060392,0.003350522790627967,-8297.893592829043
75,0.0015856322149387775,0.004282000242537792,-2088.5224443291477
76,0.001763879346187302,0.0055727835212157255,-488.8369677714459
77,0.002475165099278236,0.006607800343164247,-31.091668135845975
78,0.0034658570788578193,0.010853317277881948,-2.239940847735257
79,0.009091522511096867,0.02646925827410888,-1.1098066451731567
80,0.023074099596544672,0.0614875027039152,-0.09088900919199978
81,0.05644761733120218,0.13537888685382254,-0.08843781331128031
82,0.12546423150002603,0.28438434923998224,-0.10418654029727537
83,0.23901709390522485,0.5161825867718105,-0.15374312398178908
84,0.41171643807562974,0.8622792002378482,-0.14595297912891017
85,0.6309522293833522,1.296629237885453,-0.2047552466418816
86,0.8731261918242367,1.7760916882978728,-0.0993284999061294
87,1.1259745967536818,2.278514336319237,0.10105721969952623
88,1.401281592367348,2.833117257117651,0.2425649180728411
89,1.7227083940422447,3.4749599605118817,0.33584516011501214
90,2.1083403004761325,4.2349518418270655,0.39633542998579635
91,2.564399501390003,5.156067699021403,0.44487872680105683
92,3.084967180648914,6.249181819511084,0.4559101220067225
93,3.6833217257335633,7.479681901964237,0.44793770398705196
94,4.3964212567684555,8.902737968809133,0.43051281209023756
95,5.213151634285821,10.46590602440726,0.4084805446352804
96,6.129986910789675,12.200480483909516,0.37706958150431863
97,7.100544533634583,13.992377463383589,0.34544139474787733
98,8.13165454908974,15.745274369088966,0.31415632669235044
99,9.165605577239072,17.39161750718104,0.2809068654852588
100,10.212917573219945,18.91443010235835,0.24941904925604197
101,11.201785790636164,20.156726554342715,0.22295653230844312
102,12.126212105997235,21.127598407290353,0.20335651779024733
103,12.926142724031825,21.75853673567936,0.18918940664527828
104,13.643652515717905,22.26061174087737,0.18610767109812296
105,14.14673379906867,22.442526735952555,0.18322710449328503
106,14.337787815861267,22.19361547340603,0.1793976580691615
107,14.17062534659854,21.463425890788717,0.17759063581127965
108,13.697869452949682,20.40747348497266,0.17820270537643682
109,13.021385533423306,19.13064519425214,0.1848766154370165
110,12.269543005074846,17.83035334883495,0.20158540391417357
111,11.537781544024822,16.599265391444657,0.22465195278122926
112,10.858483013488788,15.526729177008392,0.24959033975616604
113,10.259181063274193,14.614686793445136,0.26894796589961184
114,9.654077820807203,13.752854450284383,0.2745969548623179
115,8.984995953893536,12.846629517697153,0.26183531511081254
116,8.214706567094096,11.852002297451648,0.25511722900000017
117,7.3921187183305745,10.719207714764734,0.26360376012283787
118,6.872299233093564,9.95375828767013,0.2872866492868757
119,6.6423747431891025,9.626541981342235,0.26296412789584406
120,14.967682057656665,28.53701848432333,0.9804634927206445
121,6.893820530889413,9.070147899135927,0.8018719677497511
122,3.0459004782877024,5.078154222456924,-inf
123,37.25020018592566,76.68196838324724,-17.90857711580475
124,8.553733765293467,17.998649557511456,0.9596211347873206
125,10.923703397635066,22.540191053177296,0.9454720855307528
126,5.074685770792751,9.916939955777574,0.9507174896181029
127,5.136235695156249,10.416562970675795,0.8571798818488787
