output_idx,MAE,RMSE,R2
48,5.144830053163703,7.497407375442151,0.41772446799392776
49,4.746224618462778,6.8748465488806785,0.4108660866652998
50,4.361343876445854,6.295516236643169,0.4112544659733515
51,3.9987413582320066,5.774413533799169,0.4151174951143057
52,3.6932256472018015,5.355177713968518,0.41652662290053916
53,3.4362522714461687,5.023884551662405,0.41933260488662755
54,3.2251821217722303,4.772269183296959,0.4186697553709438
55,3.058833519225228,4.5977160605403675,0.42279872280500247
56,2.9530282942812875,4.517906276313403,0.43348956246801656
57,2.917873535152198,4.5458878171036385,0.4453118341639728
58,3.0104977039062053,4.7358531439739435,0.47958755432353617
59,3.376259560749419,5.229654957541953,0.6727308707436954
60,0.0004678575685631723,0.0006504733362655214,-inf
61,0.0009607212136767681,0.001294966806173475,-inf
62,0.0017277715349666711,0.002049857674156764,-inf
63,0.0032301074210512454,0.0037493344161212776,-inf
64,0.00608381185725254,0.007028104401080908,-inf
65,0.008514282509878087,0.00999538584587609,-inf
66,0.013845793348187642,0.015840079769018824,-inf
67,0.020802257648836683,0.023506343259729678,-inf
68,0.02816839412952263,0.03160476186306672,-inf
69,0.03318682517050977,0.03828063593616733,-inf
70,0.04156518029147605,0.04832055626795242,-inf
71,0.04773382010223034,0.05709658690685526,-inf
72,0.05295240407299386,0.06408964120352018,-264477971.45631555
73,0.06178814855954177,0.07595816385232296,-75070341.64428869
74,0.06933095293863147,0.08609392923149577,-11173965.778312482
75,0.07701128305501395,0.09732048371524156,-3807243.87634654
76,0.08981901858056152,0.1149977345656617,-1629158.6457545126
77,0.10726333434520781,0.13650385706101573,-73644.54862917891
78,0.11374165720672806,0.14872810264508052,-3437.3695794988503
79,0.13112856521131294,0.17467920397485667,-1666.5776590581424
80,0.15000004079683685,0.20674354881919302,-358.78266261419344
81,0.17259086884933775,0.25653704431040997,-74.53061569151039
82,0.2222358952922321,0.3628122372388434,-21.504890528108124
83,0.29228811977431784,0.5187702578519694,-10.63215339276388
84,0.41753122747711746,0.7798054619793012,-5.850874791093385
85,0.5665809823355179,1.1061036760975467,-2.8206103447183346
86,0.7449961418217456,1.4922321762835795,-1.2128677094778635
87,0.9378722020822328,1.9148247628690271,-0.3990720418517523
88,1.1648220272996583,2.409035345359323,0.12882312263191517
89,1.433781260923027,2.9856656252594607,0.34366234397902745
90,1.7715589694235572,3.694704003283006,0.510218667222397
91,2.1736737499210386,4.551970545759187,0.5740750018883957
92,2.655308262951527,5.591352334517997,0.5810393612075674
93,3.2178457730589733,6.80109532399382,0.5508323157823797
94,3.9081868143451595,8.177791122129012,0.528748616913325
95,4.6996763839361675,9.703974041635995,0.48502395230012424
96,5.591127502112233,11.38808292095475,0.4662130959010935
97,6.560405420722511,13.162384841477087,0.43130354238804114
98,7.5838590676985405,14.875904180020434,0.40122582796745726
99,8.600368859421843,16.46198362946508,0.37025101726415494
100,9.62249843121271,17.926242092666417,0.33844916873646413
101,10.584163178244541,19.149842258297237,0.31133985354351906
102,11.476420249828374,20.078019677976695,0.29656301109652394
103,12.258173904605924,20.67773266329996,0.28632176316813424
104,12.944128050217556,21.146018052876972,0.28498360337957956
105,13.429885374475452,21.3203704969126,0.28115850609240006
106,13.607889300132726,21.07127447577443,0.27628050046922037
107,13.456216763623184,20.367487452477764,0.27429280719772303
108,12.995665367980584,19.341476263581292,0.27739050995207526
109,12.315915600689877,18.083884268835337,0.28725759287744046
110,11.574531947850035,16.81707116461701,0.30638062508552066
111,10.873912680758217,15.65705598638092,0.3268478483781046
112,10.210536955548344,14.623368781362112,0.35065970099129
113,9.601990209323285,13.715883137145568,0.3712542041687255
114,8.984104668194846,12.854468677658085,0.3815729832364583
115,8.279886491828096,11.920716054748196,0.38235413165725696
116,7.49134815937014,10.90815151448742,0.3894813598710663
117,6.6821293953193335,9.860251124574518,0.40374967076802576
118,6.087169347974939,9.043563696822922,0.43490180557851454
119,5.5463017322853965,8.227059930225016,0.46900415369927084
120,12.344023858626704,25.129564944793916,0.984898595761921
121,4.6227589181485635,6.164224665026087,0.9385677418349646
122,2.441190655355164,4.384166274262911,-inf
123,32.57168787907756,69.36346097075567,-0.9157046773574798
124,7.329968301412364,16.16534426616822,0.9667946972816656
125,9.696038290225802,20.794306106230895,0.9527934294635821
126,4.24789418391217,8.713278549053486,0.9623926932324144
127,4.608140621661561,9.591044976355535,0.8804480670865195
